freq,purchase,unit,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,DW_EXST,RCH_A_AVG,SI	0.6 	3.8 	7.8 	8.9 	8.0 	4.8 	11.5 	15.5 	7.3 	7.4 
A,DW_EXST,RCH_A_AVG,SK	6.4 	7.0 	5.4 	8.1 	11.0 	10.6 	7.5 	12.1 	0.4 	4.1 
A,DW_EXST,RCH_A_AVG,TR	16.0 	12.7 	11.0 	8.1 	4.1 	23.5 	35.7 	153.5 	97.5 	41.1 
A,DW_EXST,RCH_A_AVG,UK	6.0 	6.8 	4.5 	3.1 	1.0 	: 	: 	: 	: 	: 
A,DW_NEW,I10_A_AVG,AT	131.30 	141.62 	145.05 	152.29 	161.37 	173.43 	187.92 	209.54 	208.94 	214.25 
A,DW_NEW,I10_A_AVG,BE	112.37 	116.29 	121.26 	125.12 	128.98 	134.71 	143.17 	150.73 	153.86 	163.00 
A,DW_NEW,I10_A_AVG,BG	102.18 	108.73 	116.02 	122.66 	133.03 	135.91 	146.39 	162.27 b	176.29 	207.65 
A,DW_NEW,I10_A_AVG,CY	87.68 b	88.01 	98.78 	97.78 	111.11 	117.78 	114.32 	122.73 	135.36 	145.54 
A,DW_NEW,I10_A_AVG,CZ	102.90 	108.90 	124.10 	138.80 	149.70 	163.30 	193.40 	228.70 	225.50 	237.00 
A,DW_NEW,I10_A_AVG,DE	119.60 	127.90 	133.70 	142.30 	147.00 	156.00 	167.50 	177.90 	173.40 	174.30 
A,DW_NEW,I10_A_AVG,DK	247.02 b	245.46 	247.03 	251.44 	253.25 	255.12 	265.51 	292.92 	305.73 	312.71 
A,DW_NEW,I10_A_AVG,EA	98.40 	102.12 	105.81 	110.71 	115.56 	121.52 	129.08 	139.42 	144.07 	150.44 
A,DW_NEW,I10_A_AVG,EA19	98.66 	102.38 	106.08 	111.00 	115.85 	121.83 	129.41 	139.78 	144.41 	150.76 
A,DW_NEW,I10_A_AVG,EA20	98.56 	102.23 	105.90 	110.80 	115.67 	121.61 	129.19 	139.61 	144.29 	150.66 
A,DW_NEW,I10_A_AVG,EA21	98.65 	102.36 	106.10 	111.03 	116.00 	121.89 	129.52 	140.06 	144.93 	151.78 
A,DW_NEW,I10_A_AVG,EE	177.33 	186.78 	196.44 	213.58 	229.15 	251.05 	282.93 	333.12 	372.57 	389.32 
A,DW_NEW,I10_A_AVG,ES	80.52 	85.71 	90.93 	96.66 	103.94 	110.68 	115.70 	124.72 	134.74 	149.31 
A,DW_NEW,I10_A_AVG,EU	99.97 	103.80 	107.77 	113.12 	118.19 	123.95 	132.32 	144.77 	151.96 	162.29 
A,DW_NEW,I10_A_AVG,EU27_2020	98.83 	102.30 	106.13 	111.45 	116.80 	122.80 	131.10 	143.43 	150.56 	160.79 
A,DW_NEW,I10_A_AVG,EU28	99.97 	103.80 	107.77 	113.13 	118.19 	: 	: 	: 	: 	: 
A,DW_NEW,I10_A_AVG,FI	114.00 b	116.72 	121.07 	123.80 	126.00 	130.60 	137.90 	143.95 	143.07 	139.76 
A,DW_NEW,I10_A_AVG,FR	105.77 	107.58 	111.83 	114.64 	118.78 	122.38 	128.02 	135.45 	137.37 	136.48 
A,DW_NEW,I10_A_AVG,HR	90.02 	86.96 	86.89 	89.98 	97.48 	98.69 	107.45 	126.25 	137.59 	146.83 
A,DW_NEW,I10_A_AVG,HU	110.58 	121.75 	144.58 	164.39 	182.15 	204.63 	244.52 	297.07 	342.25 	393.14 p
A,DW_NEW,I10_A_AVG,IE	85.41 	91.93 	96.95 	106.55 	110.86 	113.21 	116.97 	126.74 	139.92 	149.50 
A,DW_NEW,I10_A_AVG,IT	99.30 	100.00 	99.30 	100.40 	101.60 	103.70 	107.70 	114.20 	120.60 	130.10 
A,DW_NEW,I10_A_AVG,LT	129.59 	132.43 	145.53 	156.83 	166.95 	177.51 	203.39 	245.57 	283.55 	311.71 
A,DW_NEW,I10_A_AVG,LU	126.76 	133.87 	141.19 	149.14 	161.86 	185.29 	207.30 	230.68 	222.67 	214.31 
A,DW_NEW,I10_A_AVG,LV	161.41 	173.52 	188.07 	199.61 	217.12 	233.78 	236.96 	267.63 	308.48 	338.07 
A,DW_NEW,I10_A_AVG,MT	106.85 	112.17 	118.05 	125.40 	133.53 	136.77 	144.99 	154.94 	164.21 	175.01 p
A,DW_NEW,I10_A_AVG,NL	94.80 	98.61 	106.43 	117.03 	126.79 	137.93 	153.17 	172.93 	179.36 	184.97 
A,DW_NEW,I10_A_AVG,NO	131.54 	140.85 	148.27 	151.53 	161.06 	169.91 	181.97 	194.61 	203.58 	212.45 
A,DW_NEW,I10_A_AVG,PL	98.73 	99.80 	102.99 	108.63 	115.89 	123.10 	134.30 	150.16 	165.88 	193.18 
A,DW_NEW,I10_A_AVG,PT	95.07 	98.24 	103.74 	111.52 	121.30 	130.43 	141.80 	154.07 	164.26 	176.54 
