geo,anio,salario_minimo_eur,pib_pps,indice_vivienda,gini,brecha_genero
IE,2023,1910.0,218.0,159.48,27.4,
IE,2024,2146.0,221.0,173.07,26.4,
IT,2016,,99.0,84.9,33.1,
IT,2017,,98.0,84.0,32.7,
IT,2018,,97.0,83.5,33.4,5.5
IT,2019,,96.0,83.4,32.8,4.6
IT,2020,,93.0,85.0,32.5,4.0
IT,2021,,96.0,87.2,32.9,4.7
IT,2022,,98.0,90.5,32.7,3.8
IT,2023,,98.0,91.6,31.5,
IT,2024,,98.0,94.6,32.2,
LT,2016,,75.0,125.18,37.0,14.4
LT,2017,,78.0,136.33,37.6,15.2
LT,2018,,81.0,146.29,36.9,14.0
LT,2019,,83.0,156.3,35.4,12.9
LT,2020,,87.0,167.66,35.1,12.3
LT,2021,642.0,88.0,194.58,35.4,10.9
LT,2022,730.0,87.0,231.64,36.2,10.5
LT,2023,840.0,86.0,254.37,35.7,
LT,2024,924.0,87.0,279.11,,
LU,2016,,276.0,132.28,,3.9
LU,2017,,266.0,139.7,29.2,2.6
LU,2018,,258.0,149.56,31.3,1.4
LU,2019,,249.0,164.69,32.3,0.9
LU,2020,,256.0,188.56,,0.3
LU,2021,2202.0,263.0,214.81,,-0.2
LU,2022,2285.0,250.0,235.33,,-0.7
LU,2023,2447.5,248.0,213.98,30.6,
LU,2024,2571.0,245.0,202.77,30.1,
LV,2016,,63.0,135.03,34.5,19.7
LV,2017,,64.0,146.87,34.5,19.8
LV,2018,,66.0,160.92,35.6,19.6
LV,2019,,66.0,175.33,35.2,21.6
LV,2020,,69.0,181.42,34.5,23.2
LV,2021,500.0,71.0,201.18,35.7,15.9
LV,2022,500.0,69.0,229.01,34.3,18.9
LV,2023,620.0,70.0,237.57,34.0,
LV,2024,700.0,68.0,247.55,34.2,
MT,2016,,100.0,115.84,28.6,11.6
MT,2017,,106.0,121.96,28.2,13.2
MT,2018,,107.0,129.01,28.7,13.0
MT,2019,,106.0,136.92,28.0,10.5
MT,2020,,105.0,141.55,30.3,7.9
MT,2021,785.0,109.0,148.77,31.2,7.2
MT,2022,792.0,103.0,158.67,31.1,5.8
MT,2023,835.0,109.0,168.53,33.0,
MT,2024,925.0,110.0,,30.8,
NL,2016,,130.0,94.45,,15.6
NL,2017,,130.0,102.09,27.1,15.1
NL,2018,,130.0,111.6,27.4,14.7
NL,2019,,128.0,119.65,26.8,14.9
NL,2020,,131.0,129.24,28.2,14.7
NL,2021,1701.0,132.0,147.96,26.4,14.3
NL,2022,1740.5,134.0,167.61,26.3,14.0
NL,2023,1964.5,131.0,164.39,26.5,
NL,2024,2102.0,134.0,177.84,25.9,
PL,2016,,69.0,96.45,29.8,7.1
PL,2017,,70.0,100.16,29.2,7.0
PL,2018,,72.0,106.75,27.8,8.5
PL,2019,,74.0,116.01,28.5,6.5
PL,2020,,79.0,128.17,27.2,4.5
PL,2021,619.0,79.0,139.92,26.8,6.2
PL,2022,648.5,78.0,156.43,26.3,7.8
PL,2023,778.5,77.0,170.23,27.0,5.9
PL,2024,988.0,78.0,195.72,26.0,4.0
PT,2016,,77.0,99.77,33.9,13.9
PT,2017,,76.0,109.0,33.5,10.8
PT,2018,,77.0,120.19,32.1,8.9
PT,2019,,77.0,132.16,31.9,9.4
PT,2020,,75.0,143.75,31.2,8.3
PT,2021,776.0,74.0,157.27,33.0,7.1
PT,2022,823.0,77.0,177.14,32.0,6.3
PT,2023,887.0,81.0,191.66,33.7,
PT,2024,957.0,,209.06,31.9,
RO,2016,,58.0,88.63,34.7,
RO,2017,,62.0,93.99,33.1,
RO,2018,,65.0,99.23,35.1,2.2
RO,2019,,69.0,102.63,34.8,2.6
RO,2020,,72.0,107.44,33.8,0.9
RO,2021,467.0,72.0,112.17,34.3,1.4
RO,2022,515.5,72.0,120.21,32.0,1.5
RO,2023,605.0,75.0,124.17,31.0,
RO,2024,703.0,,130.4,28.0,
SE,2016,,123.0,146.34,27.6,13.3
SE,2017,,119.0,156.06,28.0,12.5
SE,2018,,117.0,154.6,27.0,12.1
SE,2019,,117.0,158.44,27.6,11.1
SE,2020,,120.0,165.09,26.9,10.5
SE,2021,,120.0,181.79,26.8,10.3
SE,2022,,113.0,188.27,27.6,10.4
SE,2023,,111.0,178.37,29.5,
SE,2024,,111.0,178.49,27.6,
SI,2016,,82.0,88.1,24.4,8.1
SI,2017,,84.0,95.38,23.7,8.4
SI,2018,,86.0,103.71,23.4,9.3
SI,2019,,87.0,110.65,23.9,7.5
SI,2020,,88.0,115.75,23.5,2.4
SI,2021,1024.0,88.0,129.11,23.0,2.7
SI,2022,1074.0,89.0,148.16,23.1,6.8
SI,2023,1203.0,91.0,158.88,23.4,
SI,2024,1254.0,90.0,170.86,23.8,
SK,2016,,73.0,109.91,24.3,19.2
SK,2017,,70.0,116.34,23.2,20.1
SK,2018,,70.0,125.0,20.9,19.8
SK,2019,,70.0,136.41,22.8,18.2
SK,2020,,74.0,149.43,20.9,15.4
SK,2021,623.0,74.0,158.95,21.8,16.0
SK,2022,646.0,71.0,180.73,21.2,16.8
SK,2023,700.0,74.0,180.4,21.6,
SK,2024,750.0,75.0,187.19,21.7,
